"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032496","GO:0032496","response to lipopolysaccharide","37/848","326/18862",2.3047251756343e-07,7.94523678968667e-05,6.54899469574977e-05,"ACOD1/GJB2/HAMP/CXCL9/BDKRB1/FASLG/CCL3/CD274/CXCL11/PDCD1LG2/IDO1/SERPINE1/CCL5/CXCL10/LILRB2/CCR5/GFI1/GCH1/CPS1/CD14/HAVCR2/CD80/TREM2/C5AR1/IL1B/LILRB1/CX3CR1/CD55/LDOC1/TFPI/MGST1/CNR1/HPGD/PALM3/PENK/GGT2/CTSG",37
"GO:1990868","GO:1990868","response to chemokine","18/848","97/18862",2.77277230158661e-07,8.64840884542491e-05,7.12859605756278e-05,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CXCR6/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/CCR5/CCR1/TREM2/CXCR3/CX3CR1",18
"GO:1990869","GO:1990869","cellular response to chemokine","18/848","97/18862",2.77277230158661e-07,8.64840884542491e-05,7.12859605756278e-05,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CXCR6/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/CCR5/CCR1/TREM2/CXCR3/CX3CR1",18
"GO:0031341","GO:0031341","regulation of cell killing","18/848","98/18862",3.25595769873449e-07,9.43381893140372e-05,7.77598349524624e-05,"KLRC2/KIR2DL4/KLRC4-KLRK1/IFNG/KLRC1/LAG3/NCR1/PRF1/IL18RAP/LEP/KLRK1/CR1L/HAVCR2/LILRB1/CD55/CD1C/CD1E/AZGP1",18
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","20/848","119/18862",3.31263870873718e-07,9.43381893140372e-05,7.77598349524624e-05,"CCL7/KLRC4-KLRK1/GREM1/CCL4/CCL3/PLA2G7/XCL2/KLRK1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/C5AR1/THBS4/MTUS1/DPP4/MMP28/MST1L/CXCL17",20
"GO:1905517","GO:1905517","macrophage migration","13/848","53/18862",4.42745808166835e-07,0.000120832710145532,9.95983881617411e-05,"CCL3/CCL5/SLAMF8/ROR2/TREM2/MMP14/C5AR1/CX3CR1/MTUS1/MMP28/MST1L/SFTPD/CXCL17",13
"GO:0050672","GO:0050672","negative regulation of lymphocyte proliferation","16/848","81/18862",5.23211035946503e-07,0.000137081291417984,0.000112991553826089,"GAL/LILRB4/PLA2G2F/GPNMB/CD274/PDCD1LG2/IDO1/LILRB2/HAVCR2/CD80/CD300A/LILRB1/ERBB2/SHH/SFTPD/FOXJ1",16
"GO:0006968","GO:0006968","cellular defense response","13/848","54/18862",5.5932850018415e-07,0.000140907756777161,0.000116145582082774,"KLRC2/KIR2DL4/GNLY/CXCL9/FOSL1/NCR1/KLRC3/PRF1/LILRB2/CCR5/C5AR1/CX3CR1/DCDC2",13
"GO:2000501","GO:2000501","regulation of natural killer cell chemotaxis","6/848","9/18862",6.06691580133703e-07,0.00014579837036814,0.000120176752369336,"CCL7/KLRC4-KLRK1/CCL4/CCL3/KLRK1/CCL5",6
"GO:0032945","GO:0032945","negative regulation of mononuclear cell proliferation","16/848","82/18862",6.23260209207317e-07,0.00014579837036814,0.000120176752369336,"GAL/LILRB4/PLA2G2F/GPNMB/CD274/PDCD1LG2/IDO1/LILRB2/HAVCR2/CD80/CD300A/LILRB1/ERBB2/SHH/SFTPD/FOXJ1",16
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","25/848","182/18862",6.49692322304079e-07,0.000146740852106611,0.000120953608751275,"IL31RA/GAL/LILRB4/PLA2G2F/LAG3/GPNMB/CST7/CD274/PDCD1LG2/IDO1/TBX21/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/CNR1/ADGRF5/HMGB3/SHH/ENPP3/SFTPD/FOXJ1",25
"GO:0048247","GO:0048247","lymphocyte chemotaxis","14/848","64/18862",7.282814524544e-07,0.0001528096625333,0.000125955927542515,"CCL3L3/CCL7/KLRC4-KLRK1/CCL11/CCL8/CCL4/CCL3/XCL2/CXCL11/KLRK1/CCL4L1/CCL5/CXCL10/CXCR3",14
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","32/848","273/18862",7.34971138815126e-07,0.0001528096625333,0.000125955927542515,"CD177/TENM3/IL1RN/GPC6/CDHR1/CLDN14/PCDH1/ARVCF/CXADR/NTNG1/PTPRF/PCDHA2/MPZL2/GPC4/FLRT3/CDH1/CLDN4/CDH15/PCDHA1/PCDHA7/PCDHA12/VSTM2L/CLDN3/PCDHA5/PCDHA8/PCDHAC1/PCDHAC2/CLDN6/PCDHA11/CLDN2/PCDH20/CEACAM6",32
"GO:1905521","GO:1905521","regulation of macrophage migration","11/848","39/18862",7.49391300266039e-07,0.0001528096625333,0.000125955927542515,"CCL3/CCL5/SLAMF8/TREM2/MMP14/C5AR1/CX3CR1/MTUS1/MMP28/MST1L/CXCL17",11
"GO:0030574","GO:0030574","collagen catabolic process","12/848","47/18862",7.69880742534184e-07,0.0001528096625333,0.000125955927542515,"MMP12/MMP9/ADAMTS2/CTSL/CTSK/MMP25/MMP14/CTSB/MMP2/MMP15/MMP28/MMP7",12
"GO:0042130","GO:0042130","negative regulation of T cell proliferation","14/848","66/18862",1.0835990093845e-06,0.000208752162102015,0.000172067471180592,"LILRB4/PLA2G2F/GPNMB/CD274/PDCD1LG2/IDO1/LILRB2/HAVCR2/CD80/LILRB1/ERBB2/SHH/SFTPD/FOXJ1",14
"GO:0050866","GO:0050866","negative regulation of cell activation","26/848","200/18862",1.14253756221e-06,0.000213817743785015,0.000176242861851883,"IL31RA/GAL/LILRB4/PLA2G2F/LAG3/GPNMB/CST7/CD274/PDCD1LG2/IDO1/TBX21/APOE/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/CNR1/ADGRF5/HMGB3/SHH/ENPP3/SFTPD/FOXJ1",26
"GO:0050863","GO:0050863","regulation of T cell activation","35/848","327/18862",1.92064517452016e-06,0.000349450719252973,0.000288040616962394,"KLRC4-KLRK1/IFNG/IL27/LILRB4/PLA2G2F/LAG3/PDCD1/GPNMB/EGR3/CD274/ZNF683/LEP/PDCD1LG2/KLRK1/IDO1/CCL5/SIRPG/TBX21/CYP26B1/LILRB2/TNFSF9/HAVCR2/CD80/GLI3/TNFRSF18/CD300A/IL1B/LILRB1/CD55/ERBB2/ZBTB16/DPP4/SHH/SFTPD/FOXJ1",35
"GO:1990266","GO:1990266","neutrophil migration","19/848","123/18862",2.42658885025451e-06,0.000429571809977487,0.000354081769927607,"CCL3L3/CCL7/CCL11/CD177/XG/CCL8/CXCL9/CCL4/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/SLAMF8/C5AR1/CXADR/THBS4/DPP4",19
"GO:0042269","GO:0042269","regulation of natural killer cell mediated cytotoxicity","11/848","44/18862",2.79065927740053e-06,0.000481021533341407,0.000396490067417931,"KLRC2/KIR2DL4/KLRC4-KLRK1/KLRC1/LAG3/NCR1/IL18RAP/LEP/KLRK1/HAVCR2/LILRB1",11
"GO:0097530","GO:0097530","granulocyte migration","21/848","148/18862",2.97529071906987e-06,0.000481415586323351,0.000396814872198066,"CCL3L3/CCL7/CCL11/CD177/XG/CCL8/CXCL9/CCL4/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/SLAMF8/CD300A/C5AR1/CXADR/THBS4/DPP4/CXCL17",21
"GO:0035747","GO:0035747","natural killer cell chemotaxis","6/848","11/18862",3.08693963749324e-06,0.000481415586323351,0.000396814872198066,"CCL7/KLRC4-KLRK1/CCL4/CCL3/KLRK1/CCL5",6
"GO:0043129","GO:0043129","surfactant homeostasis","6/848","11/18862",3.08693963749324e-06,0.000481415586323351,0.000396814872198066,"CTSH/LPCAT1/ADGRF5/ABCA3/SFTPD/NAPSA",6
"GO:0098883","GO:0098883","synapse pruning","6/848","11/18862",3.08693963749324e-06,0.000481415586323351,0.000396814872198066,"C1QA/TREM2/C1QB/C1QC/CX3CR1/C3",6
"GO:0007162","GO:0007162","negative regulation of cell adhesion","32/848","295/18862",3.95912035176342e-06,0.000603075309396521,0.000497094939637566,"MMP12/ADAMDEC1/LILRB4/PLA2G2F/LAG3/IL1RN/GPNMB/GBP1/CD274/PDCD1LG2/IDO1/SERPINE1/TBX21/COL1A1/SNAI2/LILRB2/HAVCR2/CD80/GLI3/MMP14/CD300A/LILRB1/ERBB2/EPB41L5/ERBB3/CDH1/SHH/MUC1/NEXMIF/SFTPD/EPCAM/FOXJ1",32
"GO:0072677","GO:0072677","eosinophil migration","8/848","23/18862",4.33386564871995e-06,0.000636556629172963,0.000524692479072419,"CCL7/CCL11/CCL8/CCL4/CCL3/CCL4L1/CCL5/CD300A",8
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity","13/848","64/18862",4.37328981874555e-06,0.000636556629172963,0.000524692479072419,"KLRC2/KIR2DL4/GZMB/KLRC4-KLRK1/KLRC1/LAG3/NCR1/SLAMF7/IL18RAP/LEP/KLRK1/HAVCR2/LILRB1",13
"GO:0050868","GO:0050868","negative regulation of T cell activation","18/848","119/18862",6.02105146779875e-06,0.000857345372045256,0.000706681303852169,"LILRB4/PLA2G2F/LAG3/GPNMB/CD274/PDCD1LG2/IDO1/TBX21/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/SHH/SFTPD/FOXJ1",18
"GO:0002697","GO:0002697","regulation of immune effector process","43/848","465/18862",6.4508925855523e-06,0.000899007370965268,0.000741021905292223,"KLRC2/KIR2DL4/MMP12/KLRC4-KLRK1/IFNG/CD177/KLRC1/IL27/LILRB4/LAG3/NCR1/ZNF683/IL18RAP/LEP/KLRK1/CD244/CR1L/TBX21/SLAMF8/C1QA/SLC7A5/HAVCR2/CD80/STAT1/C1QB/CD300A/C5AR1/C1QC/IL1B/LILRB1/CD55/C3/ZDHHC11/CD1C/CD1E/C8B/CLU/ENPP3/C4BPA/C6/FOXJ1/PGC/AZGP1",43
"GO:0002715","GO:0002715","regulation of natural killer cell mediated immunity","11/848","48/18862",6.9741329540591e-06,0.000951678559355981,0.000784437015819498,"KLRC2/KIR2DL4/KLRC4-KLRK1/KLRC1/LAG3/NCR1/IL18RAP/LEP/KLRK1/HAVCR2/LILRB1",11
"GO:0002228","GO:0002228","natural killer cell mediated immunity","13/848","67/18862",7.45641433548793e-06,0.000996724773417264,0.00082156711335591,"KLRC2/KIR2DL4/GZMB/KLRC4-KLRK1/KLRC1/LAG3/NCR1/SLAMF7/IL18RAP/LEP/KLRK1/HAVCR2/LILRB1",13
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","19/848","133/18862",7.88277334421222e-06,0.0010326433080918,0.000851173568051884,"CCL7/XG/CCL8/CCL4/BDKRB1/CCL3/PLA2G7/XCL2/SERPINE1/CCL5/CXCL10/CCR1/TREM2/TNFRSF18/MMP14/C5AR1/CX3CR1/THBS4/CXCL17",19
"GO:0001910","GO:0001910","regulation of leukocyte mediated cytotoxicity","14/848","79/18862",1.01223120839417e-05,0.00130002243431016,0.00107156529780262,"KLRC2/KIR2DL4/KLRC4-KLRK1/KLRC1/LAG3/NCR1/IL18RAP/LEP/KLRK1/HAVCR2/LILRB1/CD1C/CD1E/AZGP1",14
"GO:0060562","GO:0060562","epithelial tube morphogenesis","32/848","309/18862",1.04043334857796e-05,0.0013105458525357,0.00108023940179279,"TWIST1/FOXD1/CCL11/GREM1/LAMA1/ADAMTS16/EOMES/TBX21/CXCL10/GLI3/MMP14/LAMA5/LRP5/DDR1/CTSH/GDF7/ESRP2/SHROOM3/EGF/IRX3/MESP1/CAV3/WNT3A/BMP5/SHH/COBL/IRX2/PKHD1/SIX1/EPHA7/NKX2-1/FOLR1",32
"GO:0048875","GO:0048875","chemical homeostasis within a tissue","6/848","13/18862",1.06085689882466e-05,0.00131105899760406,0.00108066237022277,"CTSH/LPCAT1/ADGRF5/ABCA3/SFTPD/NAPSA",6
"GO:0009110","GO:0009110","vitamin biosynthetic process","7/848","19/18862",1.13482060417369e-05,0.0013514681740614,0.00111397031173337,"IFNG/SNAI2/GFI1/PSAT1/SNAI1/RGN/BCO1",7
"GO:0048245","GO:0048245","eosinophil chemotaxis","7/848","19/18862",1.13482060417369e-05,0.0013514681740614,0.00111397031173337,"CCL7/CCL11/CCL8/CCL4/CCL3/CCL4L1/CCL5",7
"GO:1901623","GO:1901623","regulation of lymphocyte chemotaxis","8/848","26/18862",1.224439078531e-05,0.00143215642221036,0.00118047895371907,"CCL7/KLRC4-KLRK1/CCL4/CCL3/XCL2/KLRK1/CCL5/CXCL10",8
"GO:0030593","GO:0030593","neutrophil chemotaxis","16/848","103/18862",1.38782232764997e-05,0.00159477828879075,0.0013145227550354,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/C5AR1/CXADR/THBS4/DPP4",16
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","23/848","189/18862",1.41328811986327e-05,0.00159604089398352,0.00131556347854423,"LILRB4/PLA2G2F/LAG3/IL1RN/GPNMB/CD274/PDCD1LG2/IDO1/TBX21/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/EPB41L5/CDH1/SHH/NEXMIF/SFTPD/EPCAM/FOXJ1",23
"GO:0002449","GO:0002449","lymphocyte mediated immunity","35/848","360/18862",1.61476938616338e-05,0.00179266770836782,0.00147763642848028,"KLRC2/KIR2DL4/GZMB/KLRC4-KLRK1/KLRC1/LILRB4/LAG3/NCR1/CD8A/SLAMF7/PRF1/IL18RAP/LEP/KLRK1/TBX21/SLA2/C1QA/GZMM/HAVCR2/C1QB/C1QC/IL1B/LILRB1/GAPT/CD55/C3/CD1C/CTSH/CD1E/C8B/CLU/C4BPA/C6/FOXJ1/AZGP1",35
"GO:0090025","GO:0090025","regulation of monocyte chemotaxis","8/848","27/18862",1.67170296193709e-05,0.00180205491101663,0.00148537398772266,"GREM1/PLA2G7/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/CXCL17",8
"GO:0150146","GO:0150146","cell junction disassembly","7/848","20/18862",1.67824961178648e-05,0.00180205491101663,0.00148537398772266,"SNAI2/C1QA/TREM2/C1QB/C1QC/CX3CR1/C3",7
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","20/848","153/18862",1.77152174063602e-05,0.00185968638145213,0.00153287769392816,"GAL/LILRB4/PLA2G2F/LAG3/GPNMB/CD274/PDCD1LG2/IDO1/TBX21/LILRB2/HAVCR2/CD80/GLI3/CD300A/LILRB1/ERBB2/HMGB3/SHH/SFTPD/FOXJ1",20
"GO:0030217","GO:0030217","T cell differentiation","27/848","246/18862",1.7887059852135e-05,0.00185968638145213,0.00153287769392816,"IFNG/KLRC1/IL27/LILRB4/LAG3/CD8A/EGR3/EOMES/ZNF683/LEP/TBX21/CYP26B1/MAFB/CTSL/LILRB2/TNFSF9/NKX2-3/CD80/GLI3/TNFRSF18/IL1B/KIT/ERBB2/ZBTB16/RORC/SHH/FOXJ1",27
"GO:0030001","GO:0030001","metal ion transport","43/848","486/18862",1.91225077469765e-05,0.00195706915222962,0.00161314707622109,"NIPAL4/RGS4/CCL8/GRIN3A/CXCL9/CCL4/BDKRB1/MCHR1/FASLG/CCL3/ATP1A3/CXCL11/CCL5/TRPA1/CXCL10/LILRB2/CCR5/TRPM2/TRPV5/CCR1/LILRB1/RGN/BSPRY/ATP1B1/CACNA1F/CACHD1/RAMP1/TSPAN13/TRPM5/STAC/ATP2C2/EGF/SLC4A4/JPH1/CRACR2B/CAV3/WNT3A/CACNA2D2/TMEM163/GRAMD2A/CACNA1D/KCNK5/GRIN2A",43
"GO:1904158","GO:1904158","axonemal central apparatus assembly","4/848","5/18862",1.95626941372331e-05,0.00196921780702764,0.00162316080871752,"HYDIN/DNAJB13/SPEF1/SPAG17",4
"GO:0006816","GO:0006816","calcium ion transport","38/848","409/18862",1.98425000402785e-05,0.00196921780702764,0.00162316080871752,"RGS4/CCL8/GRIN3A/CXCL9/CCL4/BDKRB1/MCHR1/FASLG/CCL3/CXCL11/CCL5/TRPA1/CXCL10/LILRB2/CCR5/TRPM2/TRPV5/CCR1/LILRB1/RGN/BSPRY/ATP1B1/CACNA1F/CACHD1/RAMP1/TSPAN13/TRPM5/STAC/ATP2C2/EGF/JPH1/CRACR2B/CAV3/WNT3A/CACNA2D2/GRAMD2A/CACNA1D/GRIN2A",38
"GO:0072676","GO:0072676","lymphocyte migration","17/848","118/18862",2.09067254100423e-05,0.00202015844720615,0.00166514948585301,"CCL3L3/CCL7/KLRC4-KLRK1/CCL11/XG/CCL8/GPR15/CCL4/CCL3/XCL2/CXCL11/KLRK1/CCL4L1/CCL5/TBX21/CXCL10/CXCR3",17
"GO:0030073","GO:0030073","insulin secretion","24/848","207/18862",2.09726373145066e-05,0.00202015844720615,0.00166514948585301,"PTPRN/IFNG/GAL/IL1RN/VSNL1/SLC16A1/LEP/CCL5/ACVR1C/SLC2A1/IL1B/HNF4A/CLTRN/LRP5/CNR1/DPP4/CACNA2D2/CACNA1D/ENHO/HNF1A/FOXA2/FAM3B/HNF1B/TFAP2B",24
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","19/848","143/18862",2.2617359758748e-05,0.00214701023796811,0.00176970920217572,"FOXD1/CCL11/GREM1/LAMA1/ADAMTS16/GLI3/MMP14/LAMA5/LRP5/DDR1/CTSH/GDF7/ESRP2/EGF/CAV3/SHH/PKHD1/SIX1/NKX2-1",19
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","24/848","209/18862",2.46008060255994e-05,0.00227191089639364,0.00187266066494223,"ACOD1/HAMP/CXCL9/CCL3/CD274/CXCL11/PDCD1LG2/SERPINE1/CCL5/CXCL10/LILRB2/CCR5/GFI1/CD14/HAVCR2/CD80/TREM2/IL1B/LILRB1/CX3CR1/CD55/LDOC1/TFPI/CTSG",24
