"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008201","GO:0008201","heparin binding","21/876","164/18337",3.69893828087436e-05,0.00247244821932128,0.00206361819880359,"CCL7/CCL8/GPNMB/CXCL11/THBS2/CXCL10/APOE/ADAMTSL5/HBEGF/THBS4/PTPRF/TNXB/NDNF/MMP7/LIPH/FGF9/ADAMTS8/CTSG/APOH/SERPIND1/NELL1",21
"GO:0004252","GO:0004252","serine-type endopeptidase activity","21/876","168/18337",5.29726598076942e-05,0.00336376389778858,0.00280755096980779,"TMPRSS11D/GZMB/GZMH/GZMA/KLK2/MMP9/KLK4/PCSK1/CORIN/GZMM/MMP2/CTSH/DPP4/HPN/MMP7/CMA1/MST1L/CTSG/PRSS8/TMPRSS2/HABP2",21
"GO:0032394","GO:0032394","MHC class Ib receptor activity","4/876","6/18337",7.18272371002785e-05,0.00434383767225494,0.00362556530125215,"KLRC2/KIR2DL4/KLRC1/LILRB1",4
"GO:0008236","GO:0008236","serine-type peptidase activity","22/876","186/18337",8.22665277455098e-05,0.00474902228349079,0.00396375088228365,"TMPRSS11D/GZMB/GZMH/GZMA/KLK2/MMP9/KLK4/PCSK1/CORIN/GZMM/MMP2/CTSH/DPP4/HPN/MMP7/CMA1/MST1L/CTSG/DPP10/PRSS8/TMPRSS2/HABP2",22
"GO:0042379","GO:0042379","chemokine receptor binding","12/876","69/18337",9.34253635450879e-05,0.00490179152895127,0.00409125907140815,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10",12
"GO:0005216","GO:0005216","ion channel activity","39/876","429/18337",9.34257381012103e-05,0.00490179152895127,0.00409125907140815,"KCNJ10/KCND2/GRIN3A/CALHM6/HTR1B/KCNMA1/TRPA1/KCNA3/GABRR1/HCN2/TRPM2/TRPV5/FXYD4/ANO4/CACNA1F/CACHD1/ASIC4/TRPM5/LRRC55/SCN9A/SCN4A/CNR1/KCNJ15/KCNQ3/TMC4/CLIC6/CACNA2D2/SCNN1B/CLDN4/CLCNKB/CACNA1D/KCNK5/GABRB3/SCNN1A/SCN4B/TMC5/GRIN2A/SCN1A/ANO3",39
"GO:0017171","GO:0017171","serine hydrolase activity","22/876","188/18337",9.64919592313242e-05,0.00490179152895127,0.00409125907140815,"TMPRSS11D/GZMB/GZMH/GZMA/KLK2/MMP9/KLK4/PCSK1/CORIN/GZMM/MMP2/CTSH/DPP4/HPN/MMP7/CMA1/MST1L/CTSG/DPP10/PRSS8/TMPRSS2/HABP2",22
"GO:0046573","GO:0046573","lactonohydrolase activity","3/876","3/18337",0.000108670031326305,0.00511151628831139,0.00426630493355124,"PON2/PON1/PON3",3
"GO:0102007","GO:0102007","acyl-L-homoserine-lactone lactonohydrolase activity","3/876","3/18337",0.000108670031326305,0.00511151628831139,0.00426630493355124,"PON2/PON1/PON3",3
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","11/876","61/18337",0.00012968169742708,0.00588199127615682,0.00490937854545372,"INSRR/ROR2/EPHA10/DDR1/KIT/ERBB2/MST1R/ERBB3/ERBB4/ROS1/EPHA7",11
"GO:0005272","GO:0005272","sodium channel activity","9/876","43/18337",0.000161818899959647,0.00708655182581901,0.00591475979162846,"HCN2/TRPM2/ASIC4/SCN9A/SCN4A/SCNN1B/SCNN1A/SCN4B/SCN1A",9
