GENE	CD69-ITGAE-	CD69+ITGAE-	CD38-ENTPD1-	CD38+ENTPD1-	CD38+ENTPD1+
RPL22	3.723340942	3.501495905	3.496401025	3.38688504	3.230549105
RNF207	0.014123011	0.00954375	0.029049438	0.001510772	0.032113003
ICMT	0.237167278	0.203101765	0.275578376	0.221683281	0.24128358
LINC00337	0	0.001702707	0	0.001899203	0
GPR153	0	0.004226858	0.007252181	0.003206558	0.013568427
ACOT7	0.149514354	0.259661443	0.418982448	0.382741118	0.519601973
AL031848.2	0.011486514	0.020013769	0.016011217	0.014384845	0.00354146
HES2	0.012455335	0	0.007941315	0.003510602	0
ESPN	0	0.015888926	0.003044561	0.004125034	0.012807894
TNFRSF25	0.291349428	0.418331697	0.703515227	0.53679801	0.665157975
PLEKHG5	0	0.010556782	0.032864749	0.01003255	0.013964048
NOL9	0.144401765	0.176868833	0.200964598	0.187307827	0.206831607
TAS1R1	0	0	0	0	0
ZBTB48	0.336915224	0.196738982	0.183875446	0.275911922	0.240921377
KLHL21	0.110778841	0.177880072	0.198257186	0.137602548	0.195173074
PHF13	0.08089732	0.110064608	0.10523713	0.110736386	0.158679917
THAP3	0.135381249	0.143638446	0.09576588	0.17560148	0.157260295
DNAJC11	0.122723131	0.135199516	0.134137479	0.174218731	0.155962413
CAMTA1	0.773338879	0.731226367	0.718434273	0.723947615	0.836707531
AL359881.2	0	0	0	0	0
AL359881.1	0	0	0	0	0
VAMP3	0.28839496	0.34175294	0.476459068	0.364770121	0.29957812
PER3	0.091082788	0.06482578	0.032566577	0.090180252	0.098937517
Z98884.1	0.037617846	0.007435765	0.002859756	0	0.008572906
UTS2	0.320275766	0.287633305	0.295951078	0.329344524	0.347863004
TNFRSF9	0.473214667	0.644237486	0.605067438	1.019456469	2.232669782
PARK7	1.999324876	1.916361488	1.924140238	2.218735678	2.53272536
AL034417.4	0	0.001753773	0	0	0.004451185
ERRFI1	0.078400955	0.204279936	0.155726752	0.132206752	0.1485945
AL034417.2	0	0	0	0.003291736	0
SLC45A1	0.022151077	0.020005251	0.021825489	0.00994309	0.004362542
RERE	0.285817239	0.315811708	0.19707712	0.1838932	0.119355726
AL096855.1	0.010433566	0.002537054	0.003312339	0	0.00695839
ENO1	1.972125381	1.986199061	2.203891762	2.240969999	2.829975152
ENO1-AS1	0.011486514	0.005196059	0	0.013550721	0.006581998
SLC2A5	0.008776767	0.005036571	0.007201392	0.006865712	0
GPR157	0.018917288	0.032520832	0.020868047	0.025407818	0.011661139
MIR34AHG	0	0.004994637	0	0.006765727	0.002307932
LINC01759	0	0.003542203	0.003862485	0.003993118	0.008734995
H6PD	0.10926446	0.128120236	0.160083084	0.178337735	0.214687188
SPSB1	0.136328977	0.140455537	0.183390941	0.140399743	0.138174468
AL928921.2	0	0.001423	0	0	0
SLC25A33	0.13878237	0.290856249	0.352155794	0.276305056	0.380991652
TMEM201	0	0.044734703	0.02417522	0.028580691	0.04356281
PIK3CD	0.748793668	0.744641755	0.82692057	0.888731178	0.778141339
PIK3CD-AS1	0.025349419	0.009480716	0	0.029630297	0.007605972
PIK3CD-AS2	0	0.010613256	0	0.006848557	0.005774669
CLSTN1	0.460067653	0.443312441	0.508991154	0.444894064	0.522073259
CTNNBIP1	0.161965657	0.242121051	0.356476429	0.310838945	0.387183307
LZIC	0.282906389	0.33641131	0.321305615	0.376752527	0.403202125
NMNAT1	0.094166015	0.022663469	0.023824582	0.038224098	0.03243316
RBP7	0.031909273	0.013830244	0.025779757	0.010384136	0.00427397
UBE4B	0.229729766	0.278063595	0.291540744	0.298381848	0.263866851
KIF1B	0.118604028	0.1199941	0.126865983	0.098612374	0.114245951
AL139424.2	0	0.001899329	0	0	0
PGD	0.472853556	0.379334887	0.442797076	0.370139191	0.514783788
AL139424.1	0	0.001562866	0	0	0
CENPS-CORT	0	0.021267455	0.020701397	0.004142969	0.007626611
CENPS	0	0.006526136	0	0.018681598	0.013715916
DFFA	0.200727418	0.243530426	0.255478862	0.259350548	0.316990267
PEX14	0.174607082	0.150233931	0.090785291	0.185694487	0.201080555
CASZ1	0.188331699	0.158706057	0.126386417	0.14510353	0.137606632
C1orf127	0	0	0	0.005416049	0
TARDBP	0.215382737	0.156350731	0.15902152	0.152157523	0.205825952
AL109811.3	0	0.009652803	0.007034325	0	0.005179607
SRM	0.364930901	0.508651493	0.517906973	0.508220511	0.716876185
EXOSC10	0.411692633	0.369323433	0.34484756	0.38198602	0.443624399
AL109811.1	0	0	0	0	0.003681633
AL109811.2	0	0.001544571	0	0	0.001327075
MTOR	0.233079629	0.195802635	0.22860637	0.234497703	0.239653856
UBIAD1	0.393903618	0.300568709	0.301535422	0.326952532	0.32020341
DISP3	0	0.001132786	0	0.002475715	0.003639611
FBXO2	0.030498991	0.116224574	0.114292962	0.178719892	0.189122063
FBXO44	0.698452495	0.487561358	0.449984975	0.678794223	0.631411159
FBXO6	0.34210913	0.333287501	0.277666981	0.450849412	0.46556982
MAD2L2	0.745914985	0.613054201	0.733901036	0.829404454	1.130004596
DRAXIN	0	0.01256742	0.026622902	0.070401052	0.190183706
AGTRAP	0.761526647	0.598795897	0.622189344	0.926274027	0.647871358
C1orf167	0	0.00468489	0	0.004812883	0.002279786
MTHFR	0.039391166	0.089674395	0.085010292	0.126110133	0.096880173
CLCN6	0.122641114	0.047560969	0.054649603	0.070448787	0.038641387
NPPA-AS1	0.022800762	0.002375989	0	0.010835999	0
KIAA2013	0.203800766	0.226050777	0.214852063	0.265157066	0.377516789
PLOD1	0.07100663	0.085473025	0.077349008	0.164957777	0.16491507
MFN2	0.075627377	0.176458129	0.187243209	0.195057341	0.181760302
MIIP	0.585787029	0.474968674	0.433182667	0.637259884	0.60849769
TNFRSF8	0	0	0.00308346	0	0.041780095
TNFRSF1B	1.012982259	1.530117253	1.815045589	1.612913027	2.146782619
VPS13D	0.215173156	0.29046781	0.359217619	0.306786349	0.267629183
DHRS3	0.238607411	0.207178029	0.240699138	0.082963262	0.022934855
PDPN	0.016899633	0.017023235	0.007536428	0.019658372	0.008920819
PRDM2	0.542248455	0.548292477	0.634096599	0.648729642	0.641781773
KAZN	0	0.001890979	0	0.003513649	0
TMEM51-AS1	0	0.001576944	0	0	0
TMEM51	0	0.016314787	0.015553258	0.008659838	0.000264096
FHAD1	0	0.008160753	0.015535081	0.015290704	0.003747274
EFHD2	0.652014346	1.015104776	1.089792954	1.018607467	1.219389155
CASP9	0.055992482	0.111414538	0.138028743	0.118745736	0.268797222
DNAJC16	0.087784082	0.089781981	0.049339422	0.111557316	0.06610254
AGMAT	0.034540676	0.059255112	0.031644232	0.074251978	0.151289576
AL121992.1	0.012455335	0.00686921	0.002786638	0.004743328	0
DDI2	0.261018171	0.215610947	0.277147387	0.309214958	0.388558201
PLEKHM2	0.224038373	0.264587033	0.314201549	0.285609152	0.377614105
SLC25A34	0	0	0	0	0.002724451
SLC25A34-AS1	0	0	0	0	0
FBLIM1	0.008499575	0.002912906	0.003044561	0.023447642	0.005773443
UQCRHL	0.014369677	0.021849632	0.007604961	0.025473226	0.026917382
AL450998.2	0.125549857	0.120380058	0.136674587	0.135975199	0.139327808
SPEN	0.404993082	0.486912266	0.500212343	0.495669752	0.664890638
ZBTB17	0.198030155	0.251395242	0.282448843	0.346827017	0.399790204
HSPB7	0	0.001225613	0	0	0
CLCNKA	0	0	0	0	0
CLCNKB	0	0	0	0	0
FAM131C	0	0	0	0	0.001763599
EPHA2	0	0.007380517	0.011092248	0.017731605	0.010317316
AL451042.2	0	0.000892359	0.009995294	0.004771547	0.002951743
ARHGEF19	0.046812909	0.091767491	0.047015991	0.117262925	0.139079509
CPLANE2	0.01933991	0.026519723	0.006118906	0.011425237	0.015096777
FBXO42	0.305037587	0.248458136	0.214384839	0.283229394	0.295296216
SZRD1	0.821453136	0.760513633	0.735408899	0.762312136	0.803135392
SPATA21	0	0.003152723	0	0	0.004898989
NECAP2	0.713534217	0.692361554	0.672556941	0.680985131	0.606248974
LINC01772	0	0.001938041	0.002893696	0.009738337	0.004043192
AL137802.2	0.019510255	0.00935278	0	0.01117993	0.000592163
NBPF1	0.082930034	0.033206711	0.071900765	0.01964899	0.023708713
CROCC	0.11209802	0.168684544	0.123654364	0.136970566	0.139863747
BX284668.5	0.279430352	0.116320896	0.097033455	0.092047255	0.014181304
BX284668.6	0.094744201	0.056157145	0.033346443	0.062357067	0.042321093
MFAP2	0.026347333	0.013360799	0	0.032457515	0.009448326
ATP13A2	0.188782826	0.124855069	0.082792234	0.128724491	0.127924159
SDHB	0.600942916	0.662949836	0.67986231	0.670588179	0.793588517
PADI2	0	0.003997106	0	0	0
PADI4	0.021358382	0.000339996	0.007053205	0.008352979	0.0038431
RCC2	0.164319519	0.169391355	0.164272009	0.215212858	0.399038283
ARHGEF10L	0	0.015114973	0.005951082	0.013129251	0.003296908
IGSF21	0	0	0	0	0
KLHDC7A	0	0	0	0	0
ALDH4A1	0.021142405	0.013269773	0.005051211	0.007182139	0.013574407
IFFO2	0.128295028	0.195109868	0.266324223	0.246834535	0.248532967
UBR4	0.469880374	0.46895717	0.475510839	0.530859128	0.531418181
AL035413.1	0	0.023534385	0.025360237	0.021363717	0.01375439
EMC1	0.124101725	0.121936986	0.148010325	0.171505829	0.180471328
MRTO4	0.197746224	0.187580466	0.176678309	0.16343298	0.248106245
AKR7A3	0	0.003498183	0.016915366	0	0.008909602
AKR7A2	0.549571893	0.478885952	0.513714309	0.569977208	0.756952364
PQLC2	0.049440129	0.061262933	0.072620828	0.055268263	0.102055896
CAPZB	2.397578395	2.29292638	2.37472167	2.545525437	2.568123769
MINOS1	1.039438597	0.865422649	0.916886752	0.966335982	0.91844084
NBL1	0.116534629	0.358773746	0.985883971	0.722005178	1.325312138
HTR6	0	0	0	0	0
TMCO4	0.071907233	0.137803579	0.125103303	0.115241306	0.127452043
RNF186	0	0	0	0	0
OTUD3	0.063982458	0.0734882	0.072295159	0.071248229	0.078088927
PLA2G2A	0	0	0.007577476	0.002778156	0
PLA2G5	0	0	0	0	0
PLA2G2D	0.029294904	0.015488497	0	0.013392038	0.012213606
UBXN10-AS1	0.057611073	0.019665959	0.101065632	0.041122575	0.035798112
UBXN10	0.013857943	0.006529851	0	0.021450737	0.004544513
CAMK2N1	0.117643171	0.126787053	0.132258579	0.028845122	0.082289869
MUL1	0.226076974	0.127443657	0.244309186	0.206944605	0.250828878
FAM43B	0	0	0	0	0
CDA	0.015701693	0.019510965	0.014322072	0.014903713	0.02771901
PINK1	0.158489449	0.138828774	0.133760658	0.081447349	0.134927176
PINK1-AS	0.027636987	0.004865425	0.016719526	0.002010177	0.011789213
DDOST	1.430819701	1.262688745	1.401952394	1.390202639	1.543826038
KIF17	0	0.004432765	0	0	0.001832362
HP1BP3	1.334092763	1.440869822	1.431018183	1.516711567	1.464846284
EIF4G3	0.369144694	0.277826329	0.26526468	0.357063227	0.477919401
ECE1	0.276657302	0.33838192	0.382560019	0.3685258	0.476830644
AL031728.1	0	0.010360476	0.009875708	0.019525727	0.007880473
NBPF3	0.064882305	0.039511534	0.033467719	0.028000716	0.032478524
ALPL	0	0.023792301	0.01341248	0.035600008	0.006014438
RAP1GAP	0	0.00529652	0	0	0.000264096
USP48	0.482593244	0.529322479	0.59689561	0.541047251	0.75571981
LDLRAD2	0	0	0	0	0
HSPG2	0.027690139	0.010230687	0.008669039	0.015885437	0.005056954
LINC01635	0.048080022	0.003570522	0	0	0
CDC42	1.954326761	2.099281437	2.302450451	2.129093383	2.226895838
WNT4	0	0.001576944	0	0	0
ZBTB40	0.190926553	0.155341749	0.119779595	0.143686284	0.150375196
C1QA	0.818910684	0.671080992	0.456442332	0.4972536	0.260849047
C1QC	0.586877745	0.498316323	0.331559703	0.401656716	0.207782871
C1QB	0.81525824	0.590390935	0.355844581	0.506793742	0.237013952
EPHB2	0	0.000802799	0	0.003727172	0.004530213
KDM1A	0.111314866	0.177790319	0.195603013	0.169560128	0.243561963
LUZP1	0.31724314	0.388736961	0.488091582	0.377762394	0.687224005
LINC01355	0	0.001666394	0	0.004625883	0.013230218
HNRNPR	1.297350597	1.245966434	1.334363398	1.379737637	1.475614846
ZNF436	0.040852565	0.021125368	0.041819811	0.041410409	0.03598961
ZNF436-AS1	0	0.005427241	0	0.0033151	0.00235774
TCEA3	0.091062102	0.038458845	0.041661521	0.003862309	0.010062686
ASAP3	0	0.001105742	0	0	0
E2F2	0	0.004253525	0	0.00282534	0.016572919
ID3	0.585399363	0.685511357	0.608519036	1.11569548	1.711233641
MDS2	0.020170161	0.009966117	0.007149148	0	0.014879701
RPL11	5.687533663	5.480115023	5.425301184	5.240356286	4.965874161
ELOA	0.307655828	0.334688193	0.364808336	0.380799611	0.355744031
ELOA-AS1	0.01865096	0.058107364	0.041154514	0.027808904	0.043966731
PITHD1	0.899459937	0.937121607	1.000903766	0.843693168	0.854985898
LYPLA2	0.67699585	0.676745767	0.7279944	0.73318372	0.773041347
GALE	0.109846499	0.081442811	0.05874998	0.070057773	0.099155889
HMGCL	0.34393065	0.166730698	0.136077738	0.21944339	0.19899137
FUCA1	0.237620436	0.19532042	0.152059886	0.199953934	0.163051333
CNR2	0.021606398	0.01374972	0	0.002950264	0.001271128
PNRC2	1.187911182	1.416201431	1.206008132	1.257427106	1.194584356
SRSF10	1.097250717	1.080133052	1.071957708	1.12679106	1.184788155
IFNLR1	0.106616855	0.074831666	0.079251339	0.098046312	0.141210828
GRHL3	0	0.001363481	0	0	0
STPG1	0.060183432	0.040947161	0.031308427	0.05317766	0.031817895
NIPAL3	0.368466135	0.29904044	0.275729827	0.354766973	0.410327428
RCAN3	0.719444331	0.722778608	0.911922159	0.716787255	0.686933856
AL445686.2	0.011555655	0.012415768	0.008492688	0.015722426	0.006077559
NCMAP	0	0.005458749	0	0.00342158	0
SRRM1	1.56231964	1.803567604	1.804024845	1.691923435	1.695206475
CLIC4	0	0.06300226	0.059065826	0.058993021	0.020501958
RUNX3	1.050008822	1.399287243	1.674098384	1.313761106	1.387750999
AL445471.1	0	0.010319073	0.050417689	0.02864553	0.061884633
SYF2	1.219605723	1.207677161	1.23496915	1.255737733	1.139662532
AL031432.5	0.010705076	0.00197708	0	0.012453757	0.006548578
RSRP1	1.98764625	1.797251242	1.52779949	1.775212701	1.586418252
AL031432.3	0	0.002733918	0	0.003181357	0
TMEM50A	2.180602732	2.108739611	2.349191046	2.288491143	2.318806932
RHCE	0	0.01027726	0.006244929	0	0
MACO1	0.168982934	0.424772176	0.596462014	0.492974326	0.51395338
LDLRAP1	0.407413138	0.42317978	0.269469639	0.211519133	0.135243426
AL606491.1	0	0	0	0	0
MAN1C1	0.094396235	0.060886962	0.074549937	0.077179681	0.154326931
AL031280.1	0	0.005720845	0.016634092	0.007178841	0.011150975
SELENON	0.065959641	0.091334031	0.130115101	0.111803821	0.075303361
AL020996.1	0.011058629	0.008215315	0.004911692	0.00292187	0.00295421
MTFR1L	0.155038856	0.160790789	0.142048717	0.18910434	0.186933686
AUNIP	0	0	0	0	0.002110406
AL033528.2	0.014123011	0.001363834	0.016235041	0	0.003266024
PAQR7	0	0.002195105	0.007112598	0.002029663	0.001850093
STMN1	0.756688237	0.71016253	0.616418842	0.659284734	1.357749899
PAFAH2	0.164943147	0.099403936	0.038940161	0.072262291	0.048937472
EXTL1	0	0.00063771	0	0	0.00202757
PDIK1L	0.142529072	0.065757994	0.053493966	0.101340096	0.051952102
FAM110D	0	0.000472926	0	0	0.002851681
AL391650.1	0	0	0	0.005413634	0
ZNF593	0.40870284	0.348585267	0.390771145	0.374810669	0.509691822
CNKSR1	0	0.004994713	0.003198123	0.010161524	0.002692531
CATSPER4	0	0	0	0	0
CEP85	0.066109533	0.073711599	0.067281896	0.060499567	0.069744865
SH3BGRL3	4.705376491	4.504752317	4.898045334	5.147051389	5.174651663
UBXN11	0.556199571	0.426715749	0.677578136	0.781834845	0.717601763
CD52	3.312235307	3.098489362	3.621402997	3.684451556	3.403868457
CRYBG2	0.044743006	0.037170088	0.046584263	0.048464712	0.063800888
ZNF683	0.593306355	0.901126931	2.033521941	2.484878036	1.719091448
DHDDS	0.186048584	0.15177909	0.168167542	0.15101533	0.189361277
HMGN2	2.354055592	2.112485752	2.060231679	2.307501736	2.54542472
RPS6KA1	0.471760384	0.44428594	0.414766532	0.632140569	0.711637598
AL512408.1	0.009745046	0	0	0	0
ARID1A	0.60303591	0.492832643	0.443045365	0.453726998	0.461624873
PIGV	0.124804096	0.057896803	0.042282505	0.040080315	0.052841603
ZDHHC18	0.258898162	0.326633513	0.406402333	0.313531556	0.32261185
SFN	0.012520321	0.037716507	0.021913724	0.025550849	0.034414928
GPN2	0.143691529	0.156518419	0.131788959	0.185681154	0.223037488
GPATCH3	0.182313899	0.198381142	0.199003639	0.19743561	0.19208726
NUDC	1.035532914	1.096777392	1.06045032	1.214052164	1.200141217
NR0B2	0	0.008603746	0.012022628	0.004793884	0.003129062
KDF1	0.024534201	0.018593003	0.004592205	0.009466328	0.005003786
TRNP1	0	0	0	0.004301455	0.002838211
TENT5B	0	0.001304093	0.020228526	0	0
SLC9A1	0.116801576	0.101369184	0.132690851	0.105456849	0.108546504
WDTC1	0.285311606	0.184703846	0.165813397	0.1555866	0.217986281
TMEM222	0.452488698	0.315239053	0.272839938	0.340032023	0.388286297
SYTL1	1.163743111	0.842923496	0.917933437	0.871148743	0.688633268
MAP3K6	0.21703814	0.164637325	0.096405685	0.20210487	0.165973257
FCN3	0	0	0	0.007071896	0
CD164L2	0	0.005233511	0	0	0
GPR3	0	0.001575552	0.006157137	0.002646186	0.004649011
WASF2	0.97980588	0.934521857	0.886410503	0.942997242	0.971391311
BX293535.1	0.02353567	0.004580518	0	0.010591866	0.00726265
AHDC1	0.116129562	0.086604622	0.071005246	0.096960919	0.090792314
FGR	0.246019943	0.167073348	0.048391978	0.070665852	0.012133154
LINC02574	0.007697549	0.001683155	0	0.003892017	0
IFI6	1.289909485	1.555138376	1.239279261	1.484515569	1.949429445
FAM76A	0.069469584	0.145328591	0.184169099	0.128716612	0.138342913
STX12	0.497868151	0.453695336	0.476715613	0.419917148	0.422402826
PPP1R8	0.227087398	0.202020384	0.232720138	0.213208096	0.189202407
THEMIS2	0.137785093	0.202541728	0.156613827	0.229527517	0.23756335
RPA2	0.756023016	0.635984181	0.532507397	0.686819901	0.642857022
SMPDL3B	0	0.00580728	0	0	0
XKR8	0.177837595	0.157700863	0.160227773	0.176829397	0.100667178
EYA3	0.162376062	0.107956418	0.154760531	0.165603422	0.156750127
PTAFR	0.032540315	0.012633854	0.012132251	0.005863202	0.00152177
DNAJC8	1.122184263	1.107839155	1.099444939	1.161561493	1.249685043
ATP5IF1	2.040357234	1.975832925	1.782098931	1.851981026	1.819909001
AL353622.1	0.030388501	0.016587595	0.00386817	0.00680884	0.009629627
SESN2	0.147890466	0.327075057	0.238527152	0.15561889	0.142150376
MED18	0.103337964	0.045326639	0.055079165	0.050185526	0.089021133
PHACTR4	0.327554788	0.231172647	0.183601017	0.278321966	0.298050041
RCC1	0.127685431	0.109445735	0.100247466	0.124308288	0.151962511
TRNAU1AP	0.659194317	0.427636068	0.345415665	0.508739643	0.453852486
SNHG12	1.042500794	1.143926728	1.179812967	0.913856271	0.973655494
TAF12	0.619170306	0.532971106	0.465807204	0.507193351	0.503994619
RAB42	0.013450157	0.013108271	0	0.003676396	0.002195304
LINC01715	0	0.012435641	0.008419737	0.009809977	0.020997516
GMEB1	0.303487502	0.281808187	0.261189377	0.339004873	0.372852889
YTHDF2	0.816430186	0.896815328	0.97448923	0.884707892	0.971576408
EPB41	1.018792479	0.944655237	0.888765678	0.713260398	0.564977963
TMEM200B	0	0.002046999	0	0	0.002408366
SRSF4	0.84531007	0.98399	0.93352958	1.097988197	1.08978565
MECR	0.120993876	0.085223885	0.06883285	0.074996503	0.163906959
PTPRU	0	0.003404933	0.021934864	0	0.004274709
MATN1	0	0.007647761	0.016915366	0	0.00721363
MATN1-AS1	0.069867967	0.061780224	0.084224021	0.058361077	0.046517399
LAPTM5	3.181642426	3.086043514	3.136814618	3.200957232	3.027300565
SDC3	0.057795909	0.012235173	0	0.008205835	0.004945454
PUM1	0.46066869	0.522032879	0.558882445	0.55928361	0.628028581
NKAIN1	0	0	0	0	0
SNRNP40	0.79743321	0.604991861	0.508832696	0.63418874	0.732355949
ZCCHC17	0.351386231	0.364751003	0.312987301	0.348693346	0.353842478
FABP3	0.008926404	0.030474139	0.028091247	0.015879121	0
SERINC2	0.027116476	0.033802167	0.018008606	0.030132648	0.018303044
TINAGL1	0	0.004665864	0.008530878	0.01525533	0.015743721
PEF1	0.631092847	0.613201751	0.555105951	0.6902261	0.72779603
COL16A1	0	0.006767774	0	0	0
ADGRB2	0	0.010634437	0	0.001194183	0.001809501
SPOCD1	0.035597626	0.002881044	0	0	0.000264096
AL136115.2	0	0.000883301	0	0	0.005327519
PTP4A2	1.338424146	1.37112192	1.267948508	1.315990788	1.416091808
KHDRBS1	0.964485871	1.228657392	1.311166252	1.314897997	1.477421968
TMEM39B	0.19857419	0.136747752	0.150943818	0.162118437	0.216628891
KPNA6	0.2502194	0.309675828	0.352600185	0.241096846	0.33379253
TXLNA	0.138758703	0.198602015	0.15634508	0.246536759	0.306001932
CCDC28B	0.079281498	0.065795321	0.055396399	0.110188059	0.091818788
AL049795.1	0	0	0.004369092	0	0
IQCC	0	0.011137741	0.00589325	0.002421415	0.008417353
DCDC2B	0	0	0	0	0
TMEM234	0.151183841	0.144979656	0.11952419	0.166600128	0.167683125
EIF3I	1.31588867	1.183387267	1.392049615	1.375648248	1.562858334
